flight_date,flight_status,departure_airport,departure_timezone,departure_iata,departure_delay_minutes,departure_scheduled,departure_estimated,departure_actual,arrival_airport,arrival_timezone,arrival_iata,arrival_scheduled,arrival_delay_minutes,arrival_estimated,arrival_actual,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,year,month,day,day_of_week,total_delay_minutes,route,is_delayed
2025-12-22,scheduled,Franz Josef Strauss,Europe/Berlin,MUC,0.0,2025-12-22 15:40:00+00:00,2025-12-22 15:40:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-22 17:50:00+00:00,0.0,,,Tunisair,TU,TAR,543,TU543,TAR543,2025,12,22,Monday,0.0,MUC → TUN,False
2025-12-22,active,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 14:55:00+00:00,2025-12-22 14:55:00+00:00,2025-12-22 15:07:00+00:00,Dubai,Asia/Dubai,DXB,2025-12-22 23:30:00+00:00,13.0,2025-12-22 23:09:00+00:00,,Tunisair,TU,TAR,148,TU148,TAR148,2025,12,22,Monday,13.0,TUN → DXB,False
2025-12-22,active,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 14:45:00+00:00,2025-12-22 14:45:00+00:00,2025-12-22 15:14:00+00:00,Frankfurt International Airport,Europe/Berlin,FRA,2025-12-22 17:20:00+00:00,30.0,2025-12-22 17:17:00+00:00,,Tunisair,TU,TAR,744,TU744,TAR744,2025,12,22,Monday,30.0,TUN → FRA,True
2025-12-22,active,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 13:45:00+00:00,2025-12-22 13:45:00+00:00,,DÃ¼sseldorf International Airport,Europe/Berlin,DUS,2025-12-22 16:30:00+00:00,45.0,,,Tunisair,TU,TAR,526,TU526,TAR526,2025,12,22,Monday,45.0,TUN → DUS,True
2025-12-22,active,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 13:35:00+00:00,2025-12-22 13:35:00+00:00,,Orly,Europe/Paris,ORY,2025-12-22 16:00:00+00:00,55.0,,,Tunisair,TU,TAR,722,TU722,TAR722,2025,12,22,Monday,55.0,TUN → ORY,True
2025-12-22,active,Djerba-Zarzis,Africa/Tunis,DJE,0.0,2025-12-22 13:40:00+00:00,2025-12-22 13:40:00+00:00,2025-12-22 13:52:00+00:00,Orly,Europe/Paris,ORY,2025-12-22 16:25:00+00:00,12.0,2025-12-22 16:19:00+00:00,,Tunisair,TU,TAR,634,TU634,TAR634,2025,12,22,Monday,12.0,DJE → ORY,False
2025-12-22,active,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 12:55:00+00:00,2025-12-22 12:55:00+00:00,2025-12-22 13:09:00+00:00,Entzheim,Europe/Paris,SXB,2025-12-22 15:15:00+00:00,14.0,2025-12-22 15:06:00+00:00,,Tunisair,TU,TAR,246,TU246,TAR246,2025,12,22,Monday,14.0,TUN → SXB,False
2025-12-22,active,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 12:45:00+00:00,2025-12-22 12:45:00+00:00,,Franz Josef Strauss,Europe/Berlin,MUC,2025-12-22 14:55:00+00:00,55.0,,,Tunisair,TU,TAR,542,TU542,TAR542,2025,12,22,Monday,55.0,TUN → MUC,True
2025-12-22,active,Habib Bourguiba,Africa/Tunis,MIR,0.0,2025-12-22 13:05:00+00:00,2025-12-22 13:05:00+00:00,,Cote D'azur International Airport,Europe/Paris,NCE,2025-12-22 14:45:00+00:00,85.0,,,Tunisair,TU,TAR,250,TU250,TAR250,2025,12,22,Monday,85.0,MIR → NCE,True
2025-12-22,active,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 12:05:00+00:00,2025-12-22 12:05:00+00:00,,Houari Boumediene,Africa/Algiers,ALG,2025-12-22 13:25:00+00:00,145.0,,,Tunisair,TU,TAR,374,TU374,TAR374,2025,12,22,Monday,145.0,TUN → ALG,True
2025-12-22,active,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 09:20:00+00:00,2025-12-22 09:20:00+00:00,,Pierre Elliott Trudeau International,America/Montreal,YUL,2025-12-22 12:15:00+00:00,0.0,,,Tunisair,TU,TAR,202,TU202,TAR202,2025,12,22,Monday,0.0,TUN → YUL,False
2025-12-21,scheduled,Orly,Europe/Paris,ORY,96.0,2025-12-21 11:50:00+00:00,2025-12-21 11:50:00+00:00,2025-12-21 13:53:00+00:00,Carthage,Africa/Tunis,TUN,2025-12-21 14:20:00+00:00,96.0,2025-12-21 15:56:00+00:00,,Tunisair,TU,TAR,719,TU719,TAR719,2025,12,21,Sunday,192.0,ORY → TUN,True
2025-12-21,scheduled,Frankfurt International Airport,Europe/Berlin,FRA,108.0,2025-12-21 11:30:00+00:00,2025-12-21 11:30:00+00:00,2025-12-21 13:41:00+00:00,Carthage,Africa/Tunis,TUN,2025-12-21 13:55:00+00:00,108.0,2025-12-21 15:43:00+00:00,,Tunisair,TU,TAR,745,TU745,TAR745,2025,12,21,Sunday,216.0,FRA → TUN,True
2025-12-21,landed,Queen Alia International,Asia/Amman,AMM,0.0,2025-12-21 13:40:00+00:00,2025-12-21 13:40:00+00:00,2025-12-21 13:49:00+00:00,Carthage,Africa/Tunis,TUN,2025-12-21 15:40:00+00:00,0.0,2025-12-21 15:29:00+00:00,2025-12-21 15:31:00+00:00,Tunisair,TU,TAR,151,TU151,TAR151,2025,12,21,Sunday,0.0,AMM → TUN,False
2025-12-23,active,Orly,Europe/Paris,ORY,0.0,2025-12-23 13:00:00+00:00,2025-12-23 13:00:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-23 15:14:00+00:00,102.0,,,Tunisair,TU,TAR,2725,TU2725,TAR2725,2025,12,23,Tuesday,102.0,ORY → TUN,True
2025-12-23,scheduled,Carthage,Africa/Tunis,TUN,0.0,2025-12-23 16:55:00+00:00,2025-12-23 16:55:00+00:00,,Orly,Europe/Paris,ORY,2025-12-23 19:20:00+00:00,0.0,,,Tunisair,TU,TAR,724,TU724,TAR724,2025,12,23,Tuesday,0.0,TUN → ORY,False
2025-12-23,scheduled,MÃ©rignac,Europe/Paris,BOD,0.0,2025-12-23 16:35:00+00:00,2025-12-23 16:35:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-23 18:35:00+00:00,33.0,,,Tunisair,TU,TAR,629,TU629,TAR629,2025,12,23,Tuesday,33.0,BOD → TUN,True
2025-12-23,scheduled,Orly,Europe/Paris,ORY,0.0,2025-12-23 17:00:00+00:00,2025-12-23 17:00:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-23 19:25:00+00:00,16.0,,,Tunisair,TU,TAR,723,TU723,TAR723,2025,12,23,Tuesday,16.0,ORY → TUN,True
